game_id;nome_jogo;preco;tamanho;dev_id;data_lanc;categoria;quant_downloads;descricao;logo;capa
730;Counter-Strike: Global Offensive;0.00;15.0;1;2012-8-21;FPS;500000000;O Counter-Strike: Global Offensive (CS:GO) melhora a jogabilidade de ação baseada em equipes na qual foi pioneiro quando lançado há 19 anos. O CS:GO contém novos mapas, personagens e armas, além de contar com versões atualizadas de conteúdos do CS clássico (como de_dust2).;logo-url;capa-url
1245620;Elden Ring;249.90;60.0;2;2022-2-24;RPG;25000000;O NOVO RPG DE AÇÃO E FANTASIA. Levante-se, Maculado, e seja guiado pela graça para portar o poder do Anel Prístino e se tornar um Lorde Prístino nas Terras Intermédias.;logo-url;capa-url
1174180;Red Dead Redemption 2;299.90;150.0;3;2019-12-5;Velho Oeste;17000000;Red Dead Redemption 2: a épica aventura de mundo aberto da Rockstar Games aclamada pela crítica e o jogo mais bem avaliado desta geração de consoles, agora chega aprimorado para PC com conteúdos inéditos no Modo História, melhorias visuais e muito mais.;logo-url;capa-url
